"Time","Meter Out Counter value ls","Meter Out Measure ccs/min"
﻿"2022-05-13 15:12:19.241",0.0001041467,0
﻿"2022-05-13 15:17:19.250",0.0002964867,0
﻿"2022-05-13 15:22:19.238",0.0002964867,0
﻿"2022-05-13 15:27:19.242",0.05227965,0
﻿"2022-05-13 15:32:19.247",0.05328199,3.48581
﻿"2022-05-13 15:37:19.238",0.05376285,0
﻿"2022-05-13 15:42:19.240",0.05415937,0
﻿"2022-05-13 15:47:19.245",0.05437816,0
﻿"2022-05-13 15:52:19.235",0.05724698,0
﻿"2022-05-13 15:57:19.237",0.0589836,0
﻿"2022-05-13 16:02:19.242",0.06012419,0
﻿"2022-05-13 16:07:19.234",0.06151911,0
﻿"2022-05-13 16:12:19.234",0.06306651,0
﻿"2022-05-13 16:17:19.239",0.06364125,0
﻿"2022-05-13 16:22:19.231",0.06364125,0
﻿"2022-05-13 16:27:19.231",0.06364125,0
﻿"2022-05-13 16:32:19.236",0.06364125,0
﻿"2022-05-13 16:37:19.229",0.06366914,0
﻿"2022-05-13 16:42:19.228",0.06366914,0
﻿"2022-05-13 16:47:19.233",0.06366914,0
﻿"2022-05-13 16:52:19.227",0.06366914,0
﻿"2022-05-13 16:57:19.226",0.06366914,0
﻿"2022-05-13 17:02:19.229",0.06368223,0
﻿"2022-05-13 17:07:19.235",0.06368223,0
﻿"2022-05-13 17:12:19.224",0.06368223,0
﻿"2022-05-13 17:17:19.227",0.06368223,0
﻿"2022-05-13 17:22:19.231",0.06371558,0
﻿"2022-05-13 17:27:19.236",0.06372922,0
﻿"2022-05-13 17:32:19.223",0.06372922,0
﻿"2022-05-13 17:37:19.229",0.06372922,0
﻿"2022-05-13 17:42:19.221",0.06372922,0
﻿"2022-05-13 17:47:19.221",0.06372922,0
﻿"2022-05-13 17:52:19.226",0.06372922,0
﻿"2022-05-13 17:57:19.218",0.06372922,0
﻿"2022-05-13 18:02:19.217",0.06372922,0
﻿"2022-05-13 18:07:19.223",0.06372922,0
﻿"2022-05-13 18:12:19.214",0.06372922,0
﻿"2022-05-13 18:17:19.214",0.06372922,0
﻿"2022-05-13 18:22:19.219",0.06372922,0
﻿"2022-05-13 18:27:19.224",0.06372922,0
﻿"2022-05-13 18:32:19.214",0.06372922,0
﻿"2022-05-13 18:37:19.217",0.06372922,0
﻿"2022-05-13 18:42:19.221",0.06372922,0
﻿"2022-05-13 18:47:19.212",0.06372922,0
﻿"2022-05-13 18:52:19.213",0.06372922,0
﻿"2022-05-13 18:57:19.219",0.06372922,0
﻿"2022-05-13 19:02:19.222",0.06372922,0
﻿"2022-05-13 19:07:19.212",0.06372922,0
﻿"2022-05-13 19:12:19.215",0.06372922,0
﻿"2022-05-13 19:17:19.219",0.06372922,0
﻿"2022-05-13 19:22:19.207",0.06372922,0
﻿"2022-05-13 19:27:19.212",0.06372922,0
﻿"2022-05-13 19:32:19.217",0.06372922,0
﻿"2022-05-13 19:37:19.205",0.06372922,0
﻿"2022-05-13 19:42:19.209",0.06372922,0
﻿"2022-05-13 19:47:19.214",0.06372922,0
﻿"2022-05-13 19:52:19.205",0.06372922,0
﻿"2022-05-13 19:57:19.207",0.06372922,0
﻿"2022-05-13 20:02:19.210",0.06372922,0
﻿"2022-05-13 20:07:19.215",0.06372922,0
﻿"2022-05-13 20:12:19.203",0.06372922,0
﻿"2022-05-13 20:17:19.208",0.06372922,0
﻿"2022-05-13 20:22:19.212",0.06372922,0
﻿"2022-05-13 20:27:19.204",0.06372922,0
﻿"2022-05-13 20:32:19.205",0.06372922,0
﻿"2022-05-13 20:37:19.210",0.06372922,0
﻿"2022-05-13 20:42:19.214",0.06372922,0
﻿"2022-05-13 20:47:19.202",0.06372922,0
﻿"2022-05-13 20:52:19.207",0.06372922,0
﻿"2022-05-13 20:57:19.211",0.06372922,0
﻿"2022-05-13 21:02:19.198",0.06372922,0
﻿"2022-05-13 21:07:19.203",0.06372922,0
